text,label
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-ynkntx.xyz/verify",1
Thanks for your order! Your package will arrive in 3-5 business days.,0
Your subscription has been renewed. Receipt attached for your records.,0
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
Your subscription has been renewed. Receipt attached for your records.,0
Your subscription has been renewed. Receipt attached for your records.,0
Congratulations! You won a prize. Claim at http://prize-claim-lpbtic.com/winner,1
Your subscription has been renewed. Receipt attached for your records.,0
Your subscription has been renewed. Receipt attached for your records.,0
Your subscription has been renewed. Receipt attached for your records.,0
Your bank account is at risk. Login at http://banking-secure-qcszbf.net to confirm.,1
Congratulations! You won a prize. Claim at http://prize-claim-uckvei.com/winner,1
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-wggtyl.xyz/verify",1
Your password expires today. Reset at http://account-reset-hverfe.xyz/password,1
URGENT: Your PayPal account needs verification. Click http://paypal-bojfyc.com/update now.,1
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
Your bank account is at risk. Login at http://banking-secure-zyviiu.net to confirm.,1
URGENT: Your PayPal account needs verification. Click http://paypal-aozriy.com/update now.,1
Congratulations! You won a prize. Claim at http://prize-claim-yyvkmv.com/winner,1
URGENT: Your PayPal account needs verification. Click http://paypal-ijjmem.com/update now.,1
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-qamfgf.xyz/verify",1
Congratulations! You won a prize. Claim at http://prize-claim-masjjx.com/winner,1
Reminder: team standup tomorrow at 10am. Agenda: sprint review and planning.,0
The quarterly report is ready for review. I've uploaded it to the shared drive.,0
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-yxwcwp.xyz/verify",1
The quarterly report is ready for review. I've uploaded it to the shared drive.,0
Thanks for your order! Your package will arrive in 3-5 business days.,0
Your bank account is at risk. Login at http://banking-secure-jgdwdi.net to confirm.,1
Your password expires today. Reset at http://account-reset-qyigty.xyz/password,1
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-kwikez.xyz/verify",1
URGENT: Your PayPal account needs verification. Click http://paypal-aanfnw.com/update now.,1
Your bank account is at risk. Login at http://banking-secure-hgkutt.net to confirm.,1
Your subscription has been renewed. Receipt attached for your records.,0
URGENT: Your PayPal account needs verification. Click http://paypal-hsrjlc.com/update now.,1
Congratulations! You won a prize. Claim at http://prize-claim-fywthc.com/winner,1
Reminder: team standup tomorrow at 10am. Agenda: sprint review and planning.,0
Your bank account is at risk. Login at http://banking-secure-qgjzyv.net to confirm.,1
Your password expires today. Reset at http://account-reset-ksicjv.xyz/password,1
Congratulations! You won a prize. Claim at http://prize-claim-zfinja.com/winner,1
URGENT: Your PayPal account needs verification. Click http://paypal-yuowfb.com/update now.,1
The quarterly report is ready for review. I've uploaded it to the shared drive.,0
The quarterly report is ready for review. I've uploaded it to the shared drive.,0
Thanks for your order! Your package will arrive in 3-5 business days.,0
URGENT: Your PayPal account needs verification. Click http://paypal-pbamhx.com/update now.,1
Congratulations! You won a prize. Claim at http://prize-claim-afmays.com/winner,1
Thanks for your order! Your package will arrive in 3-5 business days.,0
Reminder: team standup tomorrow at 10am. Agenda: sprint review and planning.,0
Your bank account is at risk. Login at http://banking-secure-movluj.net to confirm.,1
Your bank account is at risk. Login at http://banking-secure-zesxof.net to confirm.,1
Congratulations! You won a prize. Claim at http://prize-claim-dksfjt.com/winner,1
Your subscription has been renewed. Receipt attached for your records.,0
URGENT: Your PayPal account needs verification. Click http://paypal-ogfihj.com/update now.,1
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-ihfgxo.xyz/verify",1
Thanks for your order! Your package will arrive in 3-5 business days.,0
Reminder: team standup tomorrow at 10am. Agenda: sprint review and planning.,0
Congratulations! You won a prize. Claim at http://prize-claim-pkicie.com/winner,1
Congratulations! You won a prize. Claim at http://prize-claim-vpjiay.com/winner,1
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-upiwij.xyz/verify",1
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
The quarterly report is ready for review. I've uploaded it to the shared drive.,0
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-dvxiqr.xyz/verify",1
Your subscription has been renewed. Receipt attached for your records.,0
The quarterly report is ready for review. I've uploaded it to the shared drive.,0
Reminder: team standup tomorrow at 10am. Agenda: sprint review and planning.,0
Reminder: team standup tomorrow at 10am. Agenda: sprint review and planning.,0
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
Your password expires today. Reset at http://account-reset-ejtybz.xyz/password,1
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
The quarterly report is ready for review. I've uploaded it to the shared drive.,0
Thanks for your order! Your package will arrive in 3-5 business days.,0
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
Congratulations! You won a prize. Claim at http://prize-claim-hgkynt.com/winner,1
Thanks for your order! Your package will arrive in 3-5 business days.,0
Your bank account is at risk. Login at http://banking-secure-fzmhtn.net to confirm.,1
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
Your subscription has been renewed. Receipt attached for your records.,0
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-ueijqw.xyz/verify",1
The quarterly report is ready for review. I've uploaded it to the shared drive.,0
Reminder: team standup tomorrow at 10am. Agenda: sprint review and planning.,0
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
Thanks for your order! Your package will arrive in 3-5 business days.,0
Thanks for your order! Your package will arrive in 3-5 business days.,0
Your subscription has been renewed. Receipt attached for your records.,0
Your bank account is at risk. Login at http://banking-secure-fkxmuh.net to confirm.,1
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-plddxc.xyz/verify",1
Your bank account is at risk. Login at http://banking-secure-udentr.net to confirm.,1
Thanks for your order! Your package will arrive in 3-5 business days.,0
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
Congratulations! You won a prize. Claim at http://prize-claim-ggsvxy.com/winner,1
The quarterly report is ready for review. I've uploaded it to the shared drive.,0
Your bank account is at risk. Login at http://banking-secure-rypuak.net to confirm.,1
Reminder: team standup tomorrow at 10am. Agenda: sprint review and planning.,0
URGENT: Your PayPal account needs verification. Click http://paypal-hgwbwe.com/update now.,1
Thanks for your order! Your package will arrive in 3-5 business days.,0
"Hi, please find the meeting notes attached. Let me know if you have questions.",0
Reminder: team standup tomorrow at 10am. Agenda: sprint review and planning.,0
"Dear customer, your account has been suspended. Verify immediately at http://secure-login-wuquux.xyz/verify",1
Your subscription has been renewed. Receipt attached for your records.,0
